 1AK4_l1AK4_l         143         143      102245       67925       47809
 1AK4_l1AK4_r         143          86       61490       40850       18177
 1AK4_l1AVX_l         143         104       74360       49400       33262
 1AK4_l1AVX_r         143          98       70070       46550       26513
 1AK4_l1AY7_l         143          62       44330       29450       14328
 1AK4_l1AY7_r         143          72       51480       34200       28300
 1AK4_l1B6C_l         143         208      148720       98800       57063
 1AK4_l1B6C_r         143          86       61490       40850       26919
 1AK4_l1BUH_l         143         106       75790       50350       47860
 1AK4_l1BUH_r         143         162      115830       76950       55165
 1AK4_l1BVN_l         143          55       39325       26125       25066
 1AK4_l1BVN_r         143         241      172315      114475       44413
 1AK4_l1CGI_l         143          59       42185       28025       26510
 1AK4_l1CGI_r         143         107       76505       50825       18883
 1AK4_l1D6R_l         143          71       50765       33725       32181
 1AK4_l1D6R_r         143         108       77220       51300       23114
 1AK4_l1DFJ_l         143         209      149435       99275       46888
 1AK4_l1DFJ_r         143          94       67210       44650       40662
 1AK4_l1E6E_l         143          83       59345       39425       27520
 1AK4_l1E6E_r         143         226      161590      107350       83486
 1AK4_l1E96_l         143         137       97955       65075       57519
 1AK4_l1E96_r         143         125       89375       59375       24300
 1AK4_l1EAW_l         143          56       40040       26600       26600
 1AK4_l1EAW_r         143         108       77220       51300       31038
 1AK4_l1EWY_l         143          58       41470       27550       19162
 1AK4_l1EWY_r         143         169      120835       80275       50510
 1AK4_l1F34_l         143         128       91520       60800       55150
 1AK4_l1F34_r         143         155      110825       73625       73621
 1AK4_l1FC2_l         143         237      169455      112575       46327
 1AK4_l1FC2_r         143          89       63635       42275       39582
 1AK4_l1FQJ_l         143         129       92235       61275       54196
 1AK4_l1FQJ_r         143         178      127270       84550       72869
 1AK4_l1GCQ_l         143          49       35035       23275       18116
 1AK4_l1GCQ_r         143         162      115830       76950       17214
 1AK4_l1H1V_l         143         342      244530      162450      155836
 1AK4_l1H1V_r         143         210      150150       99750       75218
 1AK4_l1KXQ_l         143          85       60775       40375       32194
 1AK4_l1KXQ_r         143         245      175175      116375       20763
 1AK4_l1M10_l         143         239      170885      113525       38358
 1AK4_l1M10_r         143         149      106535       70775       41820
 1AK4_l1MAH_l         143          55       39325       26125       26125
 1AK4_l1MAH_r         143         202      144430       95950       58897
 1AK4_l1PPE_l         143          31       22165       14725       14725
 1AK4_l1PPE_r         143         100       71500       47500       25551
 1AK4_l1SBB_l         143         162      115830       76950       51087
 1AK4_l1SBB_r         143         210      150150       99750       33534
 1AK4_l1TMQ_l         143          75       53625       35625       20460
 1AK4_l1TMQ_r         143         237      169455      112575       32138
 1AK4_l1UDI_l         143          62       44330       29450       28583
 1AK4_l1UDI_r         143         123       87945       58425       25133
 1AK4_l2PCC_l         143          69       49335       32775       29856
 1AK4_l2PCC_r         143         128       91520       60800       49360
 1AK4_l2SIC_l         143         108       77220       51300       39707
 1AK4_l2SIC_r         143         116       82940       55100       21906
 1AK4_r1AK4_l          86         143       61490       25740       18365
 1AK4_r1AK4_r          86          86       36980       15480        6131
 1AK4_r1AVX_l          86         104       44720       18720       12155
 1AK4_r1AVX_r          86          98       42140       17640       10184
 1AK4_r1AY7_l          86          62       26660       11160        6014
 1AK4_r1AY7_r          86          72       30960       12960       10606
 1AK4_r1B6C_l          86         208       89440       37440       21345
 1AK4_r1B6C_r          86          86       36980       15480       10066
 1AK4_r1BUH_l          86         106       45580       19080       18119
 1AK4_r1BUH_r          86         162       69660       29160       20646
 1AK4_r1BVN_l          86          55       23650        9900        9545
 1AK4_r1BVN_r          86         241      103630       43380       16375
 1AK4_r1CGI_l          86          59       25370       10620       10173
 1AK4_r1CGI_r          86         107       46010       19260        7321
 1AK4_r1D6R_l          86          71       30530       12780       12134
 1AK4_r1D6R_r          86         108       46440       19440        8226
 1AK4_r1DFJ_l          86         209       89870       37620       17881
 1AK4_r1DFJ_r          86          94       40420       16920       15315
 1AK4_r1E6E_l          86          83       35690       14940       10289
 1AK4_r1E6E_r          86         226       97180       40680       31216
 1AK4_r1E96_l          86         137       58910       24660       21692
 1AK4_r1E96_r          86         125       53750       22500        9668
 1AK4_r1EAW_l          86          56       24080       10080       10080
 1AK4_r1EAW_r          86         108       46440       19440       11579
 1AK4_r1EWY_l          86          58       24940       10440        7135
 1AK4_r1EWY_r          86         169       72670       30420       19953
 1AK4_r1F34_l          86         128       55040       23040       20897
 1AK4_r1F34_r          86         155       66650       27900       27900
 1AK4_r1FC2_l          86         237      101910       42660       18800
 1AK4_r1FC2_r          86          89       38270       16020       15054
 1AK4_r1FQJ_l          86         129       55470       23220       20595
 1AK4_r1FQJ_r          86         178       76540       32040       28126
 1AK4_r1GCQ_l          86          49       21070        8820        7085
 1AK4_r1GCQ_r          86         162       69660       29160        6368
 1AK4_r1H1V_l          86         342      147060       61560       59152
 1AK4_r1H1V_r          86         210       90300       37800       29214
 1AK4_r1KXQ_l          86          85       36550       15300       12331
 1AK4_r1KXQ_r          86         245      105350       44100        8451
 1AK4_r1M10_l          86         239      102770       43020       14192
 1AK4_r1M10_r          86         149       64070       26820       16038
 1AK4_r1MAH_l          86          55       23650        9900        9900
 1AK4_r1MAH_r          86         202       86860       36360       23191
 1AK4_r1PPE_l          86          31       13330        5580        5580
 1AK4_r1PPE_r          86         100       43000       18000        9856
 1AK4_r1SBB_l          86         162       69660       29160       20191
 1AK4_r1SBB_r          86         210       90300       37800       11877
 1AK4_r1TMQ_l          86          75       32250       13500        7862
